分类,级别,类型,简称,全称,出版社,网址
计算机网络,C,期刊,JNCA,Journal of Network and Computer Applications,Elsevier,http://dblp.uni-trier.de/db/journals/jnca/
计算机网络,C,期刊,MONET,Mobile Networks and Applications,Springer,http://dblp.uni-trier.de/db/journals/monet/
计算机网络,C,期刊,Networks,Networks,Wiley,http://dblp.uni-trier.de/db/journals/networks/
计算机网络,C,期刊,PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.uni-trier.de/db/journals/ppna/
计算机网络,C,期刊,WCMC,Wireless Communications and Mobile Computing,Wiley,http://dblp.uni-trier.de/db/journals/wicomm/
计算机网络,C,期刊,Wireless Networks,Wireless Networks,Springer,http://dblp.uni-trier.de/db/journals/winet/
计算机网络,C,期刊,IOT,IEEE Internet of Things Journal,IEEE,https://dblp.org/db/journals/iotj/index.html
计算机网络,C,期刊,TIOT,ACM Transactions on Internet of Things,ACM,https://dblp.uni-trier.de/db/journals/tiot/index.html
计算机网络,A,会议,SIGCOMM,ACM International Conference on Applications Technologies Architectures and Protocols for Computer Communication,ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html
计算机网络,A,会议,MobiCom,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.uni-trier.de/db/conf/mobicom/
计算机网络,A,会议,INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.uni-trier.de/db/conf/infocom/
计算机网络,A,会议,NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/
计算机网络,B,会议,SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.uni-trier.de/db/conf/sensys/
计算机网络,B,会议,CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,ACM,http://dblp.uni-trier.de/db/conf/conext/
计算机网络,B,会议,SECON,IEEE International Conference on Sensing Communication and Networking,IEEE,http://dblp.uni-trier.de/db/conf/secon/
计算机网络,B,会议,IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ipsn/
计算机网络,B,会议,MobiSys,ACM International Conference on Mobile Systems Applications and Services,ACM,http://dblp.uni-trier.de/db/conf/mobisys/
计算机网络,B,会议,ICNP,IEEE International Conference on Network Protocols,IEEE,http://dblp.uni-trier.de/db/conf/icnp/
计算机网络,B,会议,MobiHoc,International Symposium on Theory Algorithmic Foundations and Protocol Design for Mobile Networks and Mobile Computing,IEEE/ACM,http://dblp.uni-trier.de/db/conf/mobihoc/
计算机网络,B,会议,NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,ACM,http://dblp.uni-trier.de/db/conf/nossdav/
计算机网络,B,会议,IWQoS,IEEE/ACM International Workshop on Quality of Service,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/
计算机网络,B,会议,IMC,ACM Internet Measurement Conference,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/
计算机网络,C,会议,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ancs/
计算机网络,C,会议,APNOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/apnoms/
计算机网络,C,会议,FORTE,International Conference on Formal Techniques for Distributed Objects Components and Systems,Springer,http://dblp.uni-trier.de/db/conf/forte/
计算机网络,C,会议,LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.uni-trier.de/db/conf/lcn/
计算机网络,C,会议,GLOBECOM,IEEE Global Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/globecom/
计算机网络,C,会议,ICC,IEEE International Conference on Communications,IEEE,http://dblp.uni-trier.de/db/conf/icc/
计算机网络,C,会议,ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/icccn/
计算机网络,C,会议,MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html
计算机网络,C,会议,P2P,IEEE International Conference on Peer-to-Peer Computing,IEEE,http://dblp.uni-trier.de/db/conf/p2p/
计算机网络,C,会议,IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/
计算机网络,C,会议,WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,IEEE,http://dblp.uni-trier.de/db/conf/wowmom/
计算机网络,C,会议,ISCC,IEEE Symposium on Computers and Communications,IEEE,http://dblp.uni-trier.de/db/conf/iscc/
计算机网络,C,会议,WCNC,IEEE Wireless Communications and Networking Conference,IEEE,http://dblp.uni-trier.de/db/conf/wcnc/
计算机网络,C,会议,Networking,IFIP International Conferences on Networking,IFIP,http://dblp.uni-trier.de/db/conf/networking/index.html
计算机网络,C,会议,IM,IFIP/IEEE International Symposium on Integrated Network Management,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/im/index.html
计算机网络,C,会议,MSN,International Conference on Mobility Sensing and Networking,IEEE,https://dblp.uni-trier.de/db/conf/msn/
计算机网络,C,会议,MSWiM,International Conference on Modeling Analysis and Simulation of Wireless and Mobile Systems,ACM,http://dblp.uni-trier.de/db/conf/mswim/
计算机网络,C,会议,WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,Springer,http://dblp.uni-trier.de/db/conf/wasa/
计算机网络,C,会议,HotNets,ACM The Workshop on Hot Topics in Networks,ACM,http://dblp.uni-trier.de/db/conf/hotnets/
计算机网络,C,会议,APNet,Asia-Pacific Workshop on Networking,ACM,https://dblp.org/db/conf/apnet/index.html
分类,级别,类型,简称,全称,出版社,网址
网络与信息安全,A,期刊,TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,http://dblp.uni-trier.de/db/journals/tdsc/
网络与信息安全,A,期刊,TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.uni-trier.de/db/journals/tifs/
网络与信息安全,A,期刊,Journal of Cryptology,Journal of Cryptology,Springer,http://dblp.uni-trier.de/db/journals/joc/
网络与信息安全,B,期刊,TOPS,ACM Transactions on Privacy and Security,ACM,https://dblp.org/db/journals/tissec/index.html
网络与信息安全,B,期刊,Computers & Security,Computers & Security,Elsevier,http://dblp.uni-trier.de/db/journals/compsec/
网络与信息安全,B,期刊,Designs Codes and Cryptography,Designs Codes and Cryptography,Springer,http://dblp.uni-trier.de/db/journals/dcc/
网络与信息安全,B,期刊,JCS,Journal of Computer Security,IOS Press,http://dblp.uni-trier.de/db/journals/jcs/
网络与信息安全,B,期刊,Cybersecurity,Cybersecurity,Springer,https://dblp.uni-trier.de/db/journals/cybersec/index.html
网络与信息安全,C,期刊,CLSR,Computer Law & Security Review,Elsevier,https://dblp.org/db/journals/clsr/index.html
网络与信息安全,C,期刊,EURASIP Journal on Information Security,EURASIP Journal on Information Security,Springer,http://dblp.uni-trier.de/db/journals/ejisec/
